FECHA,INFECTADOS,MUERTOS
08/02/2020,0,0
09/02/2020,0,0
10/02/2020,0,0
11/02/2020,0,0
12/02/2020,0,0
13/02/2020,0,0
14/02/2020,0,0
15/02/2020,0,0
16/02/2020,0,0
17/02/2020,0,0
18/02/2020,0,0
19/02/2020,1,0
20/02/2020,0,0
21/02/2020,0,0
22/02/2020,0,0
23/02/2020,0,0
24/02/2020,1,0
25/02/2020,0,0
26/02/2020,1,0
27/02/2020,5,0
28/02/2020,3,0
29/02/2020,2,0
01/03/2020,1,0
02/03/2020,5,0
03/03/2020,10,0
04/03/2020,10,0
05/03/2020,10,0
06/03/2020,6,0
07/03/2020,7,0
08/03/2020,8,0
09/03/2020,5,0
10/03/2020,17,0
11/03/2020,39,0
12/03/2020,41,0
13/03/2020,66,0
14/03/2020,52,0
15/03/2020,37,0
16/03/2020,76,0
17/03/2020,104,0
18/03/2020,116,3
19/03/2020,151,0
20/03/2020,132,1
21/03/2020,85,0
22/03/2020,71,2
23/03/2020,167,1
24/03/2020,221,3
25/03/2020,185,2
26/03/2020,226,8
27/03/2020,264,9
28/03/2020,191,15
29/03/2020,167,9
30/03/2020,345,14
31/03/2020,311,26
01/04/2020,381,22
02/04/2020,347,27
03/04/2020,392,34
04/04/2020,250,39
05/04/2020,258,33
06/04/2020,629,58
07/04/2020,515,62
08/04/2020,581,50
09/04/2020,483,62
10/04/2020,571,78
11/04/2020,465,82
12/04/2020,475,87
13/04/2020,952,101
14/04/2020,934,113
15/04/2020,984,117
16/04/2020,997,107
17/04/2020,1148,142
18/04/2020,813,137
19/04/2020,794,182
20/04/2020,1515,211
21/04/2020,1470,217
22/04/2020,1421,215
23/04/2020,1506,231
24/04/2020,1732,263
25/04/2020,1160,288
26/04/2020,1114,308
27/04/2020,1936,281
28/04/2020,1954,321
29/04/2020,1936,383
30/04/2020,1885,351
01/05/2020,1551,407
02/05/2020,1494,357
03/05/2020,1372,367
04/05/2020,2633,459
05/05/2020,2229,450
06/05/2020,2388,413
07/05/2020,2530,407
08/05/2020,2530,439
09/05/2020,1654,417
10/05/2020,1549,454
11/05/2020,3114,461
12/05/2020,3067,485
13/05/2020,3230,494
14/05/2020,3214,545
15/05/2020,3683,555
16/05/2020,2260,534
17/05/2020,1737,584
18/05/2020,4173,588
19/05/2020,3705,580
20/05/2020,4047,568
21/05/2020,4103,571
22/05/2020,4131,554
23/05/2020,2412,538
24/05/2020,2005,603
25/05/2020,4789,626
26/05/2020,4419,613
27/05/2020,4566,594
28/05/2020,4300,625
29/05/2020,4461,574
30/05/2020,2821,610
31/05/2020,2192,630
01/06/2020,5444,689
02/06/2020,4834,650
03/06/2020,5065,674
04/06/2020,5011,655
05/06/2020,5149,594
06/06/2020,3146,666
07/06/2020,2464,686
08/06/2020,6283,737
09/06/2020,5868,690
10/06/2020,5822,706
11/06/2020,5462,672
12/06/2020,5740,730
13/06/2020,3226,694
14/06/2020,2695,715
15/06/2020,6682,713
16/06/2020,6467,773
17/06/2020,6172,754
18/06/2020,6144,676
19/06/2020,6153,651
20/06/2020,3723,612
21/06/2020,2608,693
22/06/2020,7008,668
23/06/2020,6609,643
24/06/2020,6357,644
25/06/2020,6335,626
26/06/2020,6614,667
27/06/2020,3769,700
28/06/2020,3058,690
29/06/2020,7557,754
30/06/2020,7219,715
01/07/2020,7685,694
02/07/2020,7097,698
03/07/2020,7110,701
04/07/2020,3750,736
05/07/2020,3098,752
06/07/2020,7871,825
07/07/2020,7914,823
08/07/2020,7449,738
09/07/2020,7054,763
10/07/2020,7214,729
11/07/2020,3926,739
12/07/2020,3273,757
13/07/2020,8922,827
14/07/2020,8459,805
15/07/2020,8860,801
16/07/2020,8262,815
17/07/2020,8049,766
18/07/2020,4452,748
19/07/2020,3499,804
20/07/2020,9125,801
21/07/2020,8657,838
22/07/2020,8305,751
23/07/2020,8085,784
24/07/2020,8030,731
25/07/2020,4208,776
26/07/2020,3064,784
27/07/2020,8524,806
28/07/2020,8196,778
29/07/2020,7661,684
30/07/2020,7574,748
31/07/2020,6730,674
01/08/2020,3829,735
02/08/2020,2559,695
03/08/2020,7534,756
04/08/2020,7390,777
05/08/2020,7166,718
06/08/2020,6675,692
07/08/2020,6626,644
08/08/2020,3681,683
09/08/2020,2440,651
10/08/2020,7263,674
11/08/2020,6877,697
12/08/2020,6498,617
13/08/2020,6451,612
14/08/2020,6212,577
15/08/2020,3254,585
16/08/2020,2338,574
17/08/2020,6900,625
18/08/2020,6727,566
19/08/2020,6300,586
20/08/2020,6025,562
21/08/2020,6301,554
22/08/2020,3160,569
23/08/2020,2352,523
24/08/2020,7096,541
25/08/2020,6690,545
26/08/2020,7032,521
27/08/2020,6536,489
28/08/2020,6328,530
29/08/2020,3165,514
30/08/2020,2241,523
31/08/2020,7042,545
01/09/2020,7152,502
02/09/2020,6917,489
03/09/2020,6296,489
04/09/2020,6037,477
05/09/2020,2901,457
06/09/2020,2092,458
07/09/2020,6417,487
08/09/2020,6619,425
09/09/2020,6053,478
10/09/2020,5699,436
11/09/2020,5500,438
12/09/2020,2809,465
13/09/2020,1917,400
14/09/2020,6267,452
15/09/2020,4367,440
16/09/2020,2245,419
17/09/2020,6408,398
18/09/2020,5609,368
19/09/2020,2822,400
20/09/2020,1857,423
21/09/2020,6318,408
22/09/2020,6175,429
23/09/2020,5828,395
24/09/2020,5401,408
25/09/2020,5284,368
26/09/2020,2665,384
27/09/2020,1836,363
28/09/2020,6280,376
29/09/2020,5948,373
30/09/2020,5540,355
01/10/2020,5288,362
02/10/2020,4998,364
03/10/2020,2452,364
04/10/2020,1767,346
05/10/2020,5925,371
06/10/2020,5951,362
07/10/2020,5774,348
08/10/2020,5510,353
09/10/2020,5654,324
10/10/2020,3037,381
11/10/2020,2209,360
12/10/2020,6822,419
13/10/2020,7123,383
14/10/2020,6463,371
15/10/2020,6463,390
16/10/2020,6611,368
17/10/2020,3352,394
18/10/2020,2367,400
19/10/2020,8227,471
20/10/2020,8391,434
21/10/2020,7415,472
22/10/2020,7290,460
23/10/2020,7235,454
24/10/2020,3502,441
25/10/2020,2468,486
26/10/2020,8404,494
27/10/2020,7942,461
28/10/2020,7177,478
29/10/2020,6865,490
30/10/2020,6287,465
31/10/2020,3015,449
01/11/2020,2165,458
02/11/2020,5157,511
03/11/2020,8085,491
04/11/2020,7629,490
05/11/2020,7548,514
06/11/2020,7091,548
07/11/2020,3540,470
08/11/2020,2645,495
09/11/2020,8959,515
10/11/2020,8927,482
11/11/2020,8356,511
12/11/2020,8145,538
13/11/2020,7574,508
14/11/2020,3899,491
15/11/2020,2635,507
16/11/2020,3300,508
17/11/2020,9610,552
18/11/2020,8709,530
19/11/2020,8208,488
20/11/2020,8392,568
21/11/2020,4215,557
22/11/2020,2779,619
23/11/2020,10353,560
24/11/2020,10281,566
25/11/2020,9582,551
26/11/2020,9597,569
27/11/2020,9615,617
28/11/2020,4891,559
29/11/2020,3007,575
30/11/2020,10928,637
01/12/2020,11613,659
02/12/2020,11446,608
03/12/2020,11194,591
04/12/2020,10879,584
05/12/2020,5981,639
06/12/2020,3165,635
07/12/2020,13085,669
08/12/2020,12989,627
09/12/2020,12474,686
10/12/2020,12699,668
11/12/2020,12464,693
12/12/2020,6853,724
13/12/2020,3405,704
14/12/2020,14324,737
15/12/2020,14000,748
16/12/2020,13279,737
17/12/2020,12757,735
18/12/2020,12504,756
19/12/2020,6576,792
20/12/2020,3797,773
21/12/2020,14427,884
22/12/2020,13820,802
23/12/2020,12757,822
24/12/2020,10442,832
25/12/2020,2732,833
26/12/2020,5904,875
27/12/2020,4386,904
28/12/2020,16167,960
29/12/2020,16059,956
30/12/2020,14661,932
31/12/2020,12069,882
01/01/2021,3356,979
02/01/2021,6898,985
03/01/2021,5154,1015
04/01/2021,18143,1094
05/01/2021,18705,1039
06/01/2021,18373,1144
07/01/2021,18654,1044
08/01/2021,18575,1175
09/01/2021,9802,1123
10/01/2021,5564,1180
11/01/2021,20754,1274
12/01/2021,19483,1208
13/01/2021,18425,1212
14/01/2021,18186,1233
15/01/2021,17407,1264
16/01/2021,9427,1250
17/01/2021,5220,1368
18/01/2021,19366,1370
19/01/2021,18783,1407
20/01/2021,17427,1452
21/01/2021,16824,1376
22/01/2021,16367,1350
23/01/2021,8697,1306
24/01/2021,4701,1384
25/01/2021,17953,1418
26/01/2021,16957,1371
27/01/2021,14904,1286
28/01/2021,14013,1204
29/01/2021,12338,1212
30/01/2021,6754,1204
31/01/2021,3668,1133
01/02/2021,4641,1236
02/02/2021,13463,1201
03/02/2021,11965,1107
04/02/2021,10915,1043
05/02/2021,10189,997
06/02/2021,5292,998
07/02/2021,2738,922
08/02/2021,11609,1026
09/02/2021,9293,926
10/02/2021,8606,853
11/02/2021,7847,884
12/02/2021,7657,819
13/02/2021,3991,737
14/02/2021,2152,747
15/02/2021,8226,785
16/02/2021,7736,739
17/02/2021,7010,720
18/02/2021,6945,661
19/02/2021,6714,680
20/02/2021,3406,588
21/02/2021,2029,687
22/02/2021,8544,703
23/02/2021,7441,571
24/02/2021,6778,576
25/02/2021,6716,563
26/02/2021,6797,545
27/02/2021,3494,559
28/02/2021,2084,552
01/03/2021,8572,557
02/03/2021,6878,527
03/03/2021,6499,483
04/03/2021,6254,489
05/03/2021,5979,502
06/03/2021,3049,461
07/03/2021,1973,462
08/03/2021,7043,501
09/03/2021,5888,435
10/03/2021,5471,491
11/03/2021,5290,460
12/03/2021,5180,397
13/03/2021,2656,407
14/03/2021,1554,447
15/03/2021,2141,381
16/03/2021,6672,378
17/03/2021,5212,384
18/03/2021,4955,353
19/03/2021,4698,362
20/03/2021,2429,327
21/03/2021,1540,364
22/03/2021,5839,343
23/03/2021,5105,382
24/03/2021,4526,320
25/03/2021,4507,282
26/03/2021,4081,275
27/03/2021,2238,297
28/03/2021,1300,330
29/03/2021,5195,322
30/03/2021,4338,305
31/03/2021,3968,293
01/04/2021,2077,277
02/04/2021,1673,284
03/04/2021,1596,288
04/04/2021,1416,253
05/04/2021,5483,298
06/04/2021,4579,262
07/04/2021,4333,295
08/04/2021,4151,279
09/04/2021,3948,264
10/04/2021,2194,256
11/04/2021,1189,247
12/04/2021,4947,244
13/04/2021,4124,281
14/04/2021,3739,248
15/04/2021,3684,259
16/04/2021,3260,238
17/04/2021,1653,244
18/04/2021,1098,201
19/04/2021,4223,221
20/04/2021,3545,229
21/04/2021,3524,219
22/04/2021,3152,189
23/04/2021,3095,195
24/04/2021,1726,199
25/04/2021,1047,190
26/04/2021,3868,204
27/04/2021,3400,183
28/04/2021,3077,188
29/04/2021,2905,195
30/04/2021,2664,147
01/05/2021,998,164
02/05/2021,947,175
03/05/2021,3399,161
04/05/2021,2871,141
05/05/2021,2549,165
06/05/2021,2745,144
07/05/2021,2444,125
08/05/2021,1265,119
09/05/2021,781,139
10/05/2021,1706,155
11/05/2021,3105,118
12/05/2021,2577,125
13/05/2021,2304,96
14/05/2021,2416,123
15/05/2021,1206,98
16/05/2021,750,110
17/05/2021,2776,117
18/05/2021,2503,120
19/05/2021,2406,112
20/05/2021,2331,94
21/05/2021,2302,94
22/05/2021,1143,80
23/05/2021,800,113
24/05/2021,2887,104
25/05/2021,2636,105
26/05/2021,2573,91
27/05/2021,2456,97
28/05/2021,2433,94
29/05/2021,1134,85
30/05/2021,931,90
31/05/2021,3025,104
01/06/2021,2771,89
02/06/2021,2780,86
03/06/2021,2631,63
04/06/2021,2745,86
05/06/2021,1346,95
06/06/2021,836,81
07/06/2021,3653,97
08/06/2021,3562,97
09/06/2021,3354,89
10/06/2021,3231,79
11/06/2021,3232,105
12/06/2021,1701,70
13/06/2021,1093,80
14/06/2021,4144,91
15/06/2021,3836,91
16/06/2021,3907,90
17/06/2021,3905,94
18/06/2021,3933,91
19/06/2021,2051,81
20/06/2021,1269,112
21/06/2021,5231,104
22/06/2021,5119,98
23/06/2021,5231,95
24/06/2021,5243,96
25/06/2021,5161,106
26/06/2021,2720,106
27/06/2021,1678,112
28/06/2021,6859,122
29/06/2021,6338,120
30/06/2021,6141,123
01/07/2021,6374,129
02/07/2021,6594,124
03/07/2021,3423,112
04/07/2021,2231,144
05/07/2021,9061,132
06/07/2021,9123,160
07/07/2021,9829,158
08/07/2021,9832,131
09/07/2021,10066,131
10/07/2021,5137,137
11/07/2021,3318,158
12/07/2021,13381,195
13/07/2021,13584,166
14/07/2021,13350,193
15/07/2021,13097,202
16/07/2021,13447,201
17/07/2021,6506,220
18/07/2021,4338,229
19/07/2021,17247,255
20/07/2021,16975,282
21/07/2021,16839,301
22/07/2021,17655,263
23/07/2021,16637,319
24/07/2021,8031,294
25/07/2021,5797,347
26/07/2021,20803,381
27/07/2021,20116,369
28/07/2021,18746,397
29/07/2021,19150,404
30/07/2021,17707,428
31/07/2021,8009,438
01/08/2021,6362,452
02/08/2021,21087,508
03/08/2021,20277,455
04/08/2021,19324,457
05/08/2021,19018,466
06/08/2021,18427,488
07/08/2021,8530,483
08/08/2021,6449,446
09/08/2021,21670,499
10/08/2021,20412,476
11/08/2021,18301,428
12/08/2021,16210,389
13/08/2021,11858,243
14/08/2021,4098,184
15/08/2021,1750,91
16/08/2021,62,4
